site,site_snag_ABLA,site_snag_LAOC,site_snag_PICO,site_snag_PIEN,site_snag_PIPO,site_snag_PSME,site_snag_unk_or_Q,site_air_seed,ABLA_seed_dist,LAOC_seed_dist,PICO_seed_dist,PIEN_seed_dist,PIPO_seed_dist,PSME_seed_dist,min_live_seed_dist
S-000-001,,,YES,,,,,NO,,,,,30,26,26
S-111-009,,,YES,,,,,NO,,,,50,85,32,32
S-111-011,,,YES,,,,,NO,,,188,,50,60,50
S-112-016,,,YES,,YES,YES,,YES,,,60,,75,27,27
S-113-024,,,,,YES,YES,,NO,,,,,55,85,55
S-121-026,,,YES,,YES,YES,,YES,,,,84,53,38,38
S-121-035,,,YES,,,,YES,NO,,,,,53,24,24
S-122-038,,,YES,,YES,YES,,NO,,,,,28,35,28
S-122-039,,,,,YES,YES,YES,NO,,,,,64,62,62
S-123-051,,,YES,,YES,YES,,NO,,,94,,55,46,46
S-130-076,,,YES,YES,YES,YES,YES,NO,,,,63,33,45,33
S-131-056,,,,,YES,YES,,NO,,,,,76,72,72
S-131-060,,,YES,,,,,YES,,,,,36,18,18
S-131-062,,,YES,,,,,UNK,,,228,,52,30,30
S-133-082,,,,,YES,YES,,NO,,,,,32,72,32
S-211-127,,,YES,,YES,YES,,YES,,150,150,,300,150,150
S-212-140,,,YES,,,,,NO,,,53,,,41,41
S-212-147,,,YES,,YES,YES,,YES,,54,65,,33,32,32
S-213-161,,YES,YES,,YES,YES,,YES,,71,56,,42,34,34
S-213-168,,,YES,,,,,NO,,,50,,132,50,50
S-221-185,,,YES,,YES,YES,,NO,,,,,38,34,34
S-221-211,,,YES,,YES,YES,,NO,,,73,,62,146,62
S-222-231,,,,,YES,YES,,NO,,,,,29,65,29
S-222-237,,,,,YES,YES,YES,NO,,,,,44,63,44
S-223-241,,,YES,,YES,YES,,YES,,99,85,,72,72,72
S-231-257,,,YES,,YES,YES,,NO,,,139,,36,34,34
S-231-258,,,YES,,YES,YES,,YES,,,83,,46,41,41
S-231-268,,,YES,,YES,YES,,NO,,,186,,52,30,30
S-231-304,,YES,YES,,YES,YES,,YES,,32,,,65,21,21
S-232-323,,YES,YES,,,,,YES,,35,85,,,,35
S-233-339,,,YES,,YES,YES,,NO,,,120,,69,96,69
S-233-346,,,YES,,YES,YES,YES,YES,,,,,32,57,32
S-300-369,,,YES,,,,YES,YES,,,132,,,134,132
S-312-427,,,YES,,,,,YES,33,,62,,,,33
S-312-428,YES,,,,,,,NO,,92,,,,153,92
S-312-441,YES,,YES,,,,,YES,,,250,,,111,111
S-312-452,YES,,YES,,,,YES,YES,,,110,,,105,105
S-313-475,,,YES,,YES,YES,YES,YES,,,,50,97,67,50
S-313-477,YES,,YES,,,,YES,YES,83,,150,,,85,83
S-321-502,YES,,,,,,,NA,41,41,41,41,,41,41
S-322-554,YES,,,YES,,,YES,NO,145,145,,,,,145
S-322-574,YES,,YES,YES,,,,YES,72,,90,83,,34,34
S-322-575,YES,,YES,,,,,YES,,,43,,,61,43
S-322-577,,,YES,,,,YES,YES,91,158,117,126,,,91
S-323-608,,,YES,,,,YES,YES,,,,,,32,32
S-323-611,YES,,YES,,,,,NO,26,,,56,,56,26
S-323-641,,,YES,,,,,YES,80,,93,80,,55,55
S-331-665,,,YES,,,,,YES,,65,62,,45,35,35
S-332-720,YES,,YES,,,,,YES,46,,122,,,47,46
S-333-726,YES,,YES,,,,,NO,60,,,,,35,35
S-333-734,,,YES,,,,,YES,,,110,,,44,44
